年,月,日,曜,行事
2024,3,31,金,オリエンテーション
2023,4,1,土,春学期開始
2023,4,1,土,オリエンテーション
2023,4,3,月,オリエンテーション
2023,4,4,火,大学院入学式／春セメスター授業開始
2023,4,29,土,水曜日授業日（昭和の日） *1
2023,5,3,水,祝日（憲法記念日）
2023,5,4,木,祝日（みどりの日）
2023,5,5,金,祝日（こどもの日）
2023,5,27,土,木曜日授業日 *1
2023,6,24,土,金曜日授業日 *1
2023,7,17,月,祝日授業日（海の日）
2023,7,21,金,春セメスター授業終了
2023,7,26,水,春セメスター定期試験開始
2023,7,31,月,春セメスター定期試験終了
2023,8,1,火,定期試験予備日・夏期休暇開始
2023,8,3,木,追試験日
2023,8,4,金,追試験日
2023,8,5,土,追試験予備日
2023,8,28,月,夏集中講義（第1週）開始
2023,9,2,土,夏集中講義（第1週）終了
2023,9,4,月,夏集中講義（第2週）開始
2023,9,5,火,春学期修了合否発表日（修士・専門職）・成績発表日
2023,9,9,土,夏集中講義（第2週）終了
2023,9,15,金,夏集中科目（Ⅰ・Ⅱ・Ⅲ）成績発表日 *2
2023,9,22,金,秋入学者オリエンテーション
2023,9,23,土,秋季学位授与式（修士・専門職）／秋分の日
2023,9,24,日,秋季学位授与式（課程博士・論文博士）
2023,9,25,月,秋季入学式
2023,9,25,月,夏期休暇終了
2023,9,25,月,春学期終了
2023,9,26,火,秋学期開始
2023,9,26,火,秋セメスター授業開始
2023,10,9,月,祝日授業日（スポーツの日）
2023,11,3,金,祝日授業日（文化の日）
2023,11,23,木,祝日授業日（勤労感謝の日）
2023,12,26,火,冬期休暇開始
2024,1,7,日,冬期休暇終了
2024,1,8,月,祝日授業日（成人の日）
2024,1,8,月,秋セメスター授業再開
2024,1,19,金,秋セメスター授業終了
2024,1,24,水,秋セメスター定期試験開始
2024,1,30,火,秋セメスター定期試験終了
2024,1,31,水,定期試験予備日・春期休暇開始
2024,2,2,金,追試験日
2024,2,3,土,追試験日
2024,2,5,月,追試験予備日
2024,3,5,火,秋学期修了合否発表日（修士・専門職）・成績発表日
2024,3,15,金,冬集中科目成績発表日
2024,3,20,水,学位授与式（修士・専門職）（朱雀・OIC）／春分の日
2024,3,21,木,学位授与式（修士・専門職）（衣笠）
2024,3,22,金,学位授与式（修士・専門職）（BKC）
2024,3,23,土,学位授与式（課程博士・論文博士）
2024,3,31,日,春期休暇終了
2024,3,31,日,秋学期終了
